url,t,epoch,hashtag_profile,tag_profile,score
http://www.irishtimes.com/news/world/hurricane-earl-to-hit-belize-1.2744859,2016-08-04T08:14:03.825386+00:00,1470298443.0,"{'#earl': 0.4706382978723404, '#hurricane': 0.5293617021276595}","{'#earl': 0.3529787234042553, '#hurricane': 0.39702127659574465, 'belize': 0.05, 'caribbean': 0.05, 'honduras': 0.05, 'hurricane_earl': 0.05, 'wednesday': 0.05}",0.0040499914737302
http://www.irishtimes.com/news/world/us/hurricane-matthew-causes-mass-evacuation-in-four-us-states-1.2819012,2016-10-06T15:14:03.001250+00:00,1475766843.0,{'#matthew': 1.0},"{'#matthew': 0.75, 'florida_governor': 0.05, 'haiti': 0.05, 'hurricane_matthew': 0.05, 'states': 0.05, 'thursday': 0.05}",0.003715315155223485
http://www.irishtimes.com/news/world/europe/january-hurricane-in-atlantic-is-first-since-1938-1.2498220,2016-01-15T13:59:42.670580+00:00,1452866382.0,"{'#alex': 0.7189324437030858, '#azores': 0.027522935779816515, '#hurricane': 0.25354462051709764}","{'#alex': 0.5391993327773144, '#azores': 0.020642201834862386, '#hurricane': 0.19015846538782322, 'alex': 0.05, 'atlantic': 0.05, 'azores': 0.05, 'january': 0.05, 'waves': 0.05}",0.0025962618133238253
http://www.irishtimes.com/sport/rugby/hurricanes-land-first-super-rugby-title-1.2747956,2016-08-06T12:31:02.036652+00:00,1470486662.0,"{'#superrugby': 0.7425044091710759, '#hurricanes': 0.02733686067019401, '#rugby': 0.23015873015873023}","{'#superrugby': 0.5568783068783069, '#hurricanes': 0.02050264550264551, '#rugby': 0.17261904761904767, 'beaudan_barrett': 0.05, 'outhalf_beauden_barrett': 0.05, 'south_africas_lions': 0.05, 'super_rugby': 0.05, 'wellington_hurricanes': 0.05}",0.0025807189822515736
http://www.irishtimes.com/sport/rugby/hurricanes-hang-tough-to-make-super-rugby-final-1.2740672,2016-07-30T12:20:34.263536+00:00,1469881234.0,{'#superrugby': 1.0},"{'#superrugby': 0.75, 'sam_cane': 0.05, 'saturday': 0.05, 'super_rugby': 0.05, 'waikato_chiefs': 0.05, 'wellington_hurricanes': 0.05}",0.0025021432427418905
http://www.irishtimes.com/news/world/hurricane-patricia-downgraded-still-poses-flood-threat-1.2404963,2015-10-24T09:28:00+00:00,1445678880.0,{},"{'fears': 0.05, 'flash': 0.05, 'flood': 0.05, 'hurricane_patricia': 0.05, 'mexico': 0.05}",0.0024893528515372303
http://www.irishtimes.com/sport/racing/dual-champion-hurdle-winner-hurricane-fly-is-retired-1.2335034,2015-08-31T13:06:00+00:00,1441026360.0,{'#hurricanefly': 1.0},"{'#hurricanefly': 0.75, 'grade': 0.05, 'hurdle': 0.05, 'hurricane_fly': 0.05, 'montjeu': 0.05, 'willie_mullins': 0.05}",0.0024513427716976927
http://www.irishtimes.com/sport/racing/former-irish-derby-winner-hurricane-run-dies-1.2906289,2016-12-14T18:20:37.434619+00:00,1481739637.0,{},"{'germany': 0.05, 'hurricane_run': 0.05, 'irish_derby': 0.05, 'prix': 0.05, 'tattersalls_gold_cup': 0.05}",0.0024347826467277195
http://www.irishtimes.com/news/world/hurricane-patricia-inflicts-less-damage-than-feared-on-mexico-1.2404963,2015-10-24T19:29:00+00:00,1445714940.0,"{'#patricia': 0.428856117975289, '#mexico': 0.4990035870864887, '#prayformexico': 0.03626943005181347, '#yearinspace': 0.03587086488640893}","{'#patricia': 0.32164208848146675, '#mexico': 0.3742526903148665, '#prayformexico': 0.027202072538860103, '#yearinspace': 0.026903148664806698, 'fears': 0.05, 'hurricane_patricia': 0.05, 'mexicos_pacific': 0.05, 'saturday': 0.05, 'storm': 0.05}",0.0023669450013070184
http://www.irishtimes.com/news/world/us/hurricane-matthew-kills-dozens-spurs-mass-florida-evacuation-1.2819012,2016-10-06T22:44:01.060975+00:00,1475793841.0,{'#matthew': 1.0},"{'#matthew': 0.75, 'cuba_haiti': 0.05, 'dozens': 0.05, 'evacuation': 0.05, 'florida': 0.05, 'hurricane_matthew': 0.05}",0.002348655021118449
http://www.irishtimes.com/news/world/us/hurricane-matthew-840-dead-in-haiti-as-storm-skirts-florida-1.2820538,2016-10-07T19:59:01.194812+00:00,1475870341.0,"{'#haiti': 0.35311143270622286, '#matthew': 0.4696092619392186, '#hurricanematthew': 0.17727930535455863}","{'#haiti': 0.26483357452966716, '#matthew': 0.35220694645441397, '#hurricanematthew': 0.13295947901591898, 'florida': 0.05, 'haiti': 0.05, 'hurricane_matthew': 0.05, 'north_carolina': 0.05, 'us_atlantic': 0.05}",0.0023370593109444983
http://www.irishtimes.com/news/ireland/irish-news/hurricane-charley-storm-that-travelled-from-the-us-to-ireland-1.2910412,2016-12-31T00:14:03.007847+00:00,1483143243.0,{},"{'dublin': 0.05, 'hurricane_charley': 0.05, 'hurricane_charleys': 0.05, 'ireland': 0.05, 'south_carolina': 0.05}",0.0022982542957260565
http://www.irishtimes.com/news/world/us/hurricane-matthew-monster-storm-hits-florida-after-hundreds-killed-in-haiti-1.2820538,2016-10-07T10:29:00.796747+00:00,1475836140.0,"{'#matthew': 0.97398091934085, '#haiti': 0.026019080659150044}","{'#matthew': 0.7304856895056375, '#haiti': 0.019514310494362534, 'a_monster': 0.05, 'florida': 0.05, 'haiti': 0.05, 'hurricane_matthew': 0.05, 'millions': 0.05}",0.002281369597861961
http://www.irishtimes.com/sport/racing/willie-mullins-hopes-faugheen-can-emulate-feats-of-hurricane-fly-1.2501144,2016-01-19T01:14:54.211362+00:00,1453166094.0,{},"{'arctic_fire': 0.03125, 'champion_hurdle': 0.03125, 'faugheen': 0.03125, 'hurricane_fly': 0.03125, 'nichols_canyon': 0.03125, 'sundays_bhp_irish_champion_hurdle': 0.03125, 'willie_mullins': 0.03125, 'willie_mullins-trained': 0.03125}",0.0022254041778519283
http://www.irishtimes.com/news/world/us/new-orleans-marks-10-year-hurricane-katrina-anniversary-1.2333899,2015-08-30T07:10:00+00:00,1440918600.0,"{'#katrina10': 0.8080194410692588, '#katrina': 0.19198055893074115}","{'#katrina10': 0.6060145808019441, '#katrina': 0.14398541919805585, 'bill_clinton': 0.041666666666666664, 'hurricane_katrina': 0.041666666666666664, 'lower_ninth_ward': 0.041666666666666664, 'new_orleans': 0.041666666666666664, 'saturday': 0.041666666666666664, 'super_dome': 0.041666666666666664}",0.002107663578554521
http://www.irishtimes.com/sport/gaelic-games/hurling/galway-hurricane-blows-cork-to-the-four-winds-in-thurles-1.2297707,2015-07-26T17:14:00+00:00,1437930840.0,"{'#galwayhurling': 0.09090909090909091, '#gaa': 0.9090909090909091}","{'#galwayhurling': 0.06818181818181818, '#gaa': 0.6818181818181818, 'cork': 0.05, 'galway': 0.05, 'thurles': 0.05, 'tipperary': 0.05, 'tribesmen': 0.05}",0.0020399914160764425
http://www.irishtimes.com/sport/rugby/rugby-stats-form-of-new-zealand-club-sides-shows-scale-of-lions-task-1.3078374,2017-05-11T06:14:03.757852+00:00,1494483243.0,"{'#newzealand': 0.8892900120336943, '#rugby': 0.11070998796630566}","{'#newzealand': 0.6669675090252707, '#rugby': 0.08303249097472924, 'all_blacks': 0.05, 'hurricanes_highlanders': 0.05, 'lions': 0.05, 'new_zealand': 0.05, 'super_rugby_championship': 0.05}",0.001970170179823967
http://www.irishtimes.com/news/environment/dublin-bound-passenger-ferry-shelters-off-uk-after-storm-imogen-1.2526688,2016-02-08T15:59:33.045664+00:00,1454947173.0,"{'#stormimogen': 0.37934508816120904, '#storm': 0.22267002518891685, '#imogen': 0.39798488664987414}","{'#stormimogen': 0.2845088161209068, '#storm': 0.16700251889168763, '#imogen': 0.2984886649874056, 'cork_kerry': 0.05, 'devon': 0.05, 'france_ireland': 0.05, 'storm_imogen': 0.05, 'uk': 0.05}",0.001926851933320917
http://www.irishtimes.com/news/ireland/irish-news/five-things-you-need-to-know-today-1.2820565,2016-10-07T08:14:00.346521+00:00,1475828040.0,{},"{'abortion': 0.05, 'coldplay': 0.05, 'florida': 0.05, 'hurricane_matthew': 0.05, 'poll': 0.05}",0.0018543970051738859
http://www.irishtimes.com/sport/rugby/pro12/leinster-sign-maori-all-black-scrumhalf-jamison-gibson-park-1.2645333,2016-05-12T10:14:02.671383+00:00,1463048042.0,{},"{'hurricanes': 0.05, 'jamison_gibson-park': 0.05, 'july': 0.05, 'leinster_rugby': 0.05, 'maori_all_black': 0.05}",0.0018456853423054651
http://www.irishtimes.com/news/environment/storm-gertrude-15-000-homes-without-power-after-near-hurricane-winds-1.2515049,2016-01-29T11:14:14.150753+00:00,1454066054.0,{'#stormgertrude': 1.0},"{'#stormgertrude': 0.75, 'friday': 0.05, 'homes': 0.05, 'power': 0.05, 'storm_gertrude': 0.05, 'winds': 0.05}",0.0017986795156471613
http://www.irishtimes.com/news/environment/adventurer-thanks-cork-lifeboat-crew-for-saving-boat-1.2493181,2016-01-12T01:14:37.619821+00:00,1452561277.0,{},"{'adventurer': 0.05, 'atlantic': 0.05, 'cork': 0.05, 'crew': 0.05, 'lifeboat': 0.05}",0.0017270254749742178
http://www.irishtimes.com/sport/racing/faugheen-races-home-in-style-at-leopardstown-1.2508783,2016-01-25T01:14:47.295608+00:00,1453684487.0,{'#faugheen': 1.0},"{'#faugheen': 0.75, 'bhp_irish_champion_hurdle': 0.05, 'comparing': 0.05, 'faugheen': 0.05, 'faugheens': 0.05, 'hurricane_fly': 0.05}",0.001699115292351248
http://www.irishtimes.com/sport/racing/faugheen-the-machine-destroys-field-in-irish-champion-hurdle-1.2508584,2016-01-24T16:01:14.215824+00:00,1453651274.0,{'#faugheen': 1.0},"{'#faugheen': 0.75, 'bhp_insurances_irish_champion_hurdle': 0.05, 'champion_hurdle': 0.05, 'hurricane_fly': 0.05, 'leopardstown': 0.05, 'willie_mullins': 0.05}",0.0016975570191357706
http://www.irishtimes.com/news/world/strongest-ever-western-hemisphere-storm-heads-for-mexico-1.2403260,2015-10-23T18:20:00+00:00,1445624400.0,{},"{'hurricane_patricia': 0.05, 'mexico': 0.05, 'strongest': 0.05, 'typhoon_haiyan': 0.05, 'un': 0.05}",0.0007861035718919928
http://www.irishtimes.com/news/world/tropical-storm-erika-leads-to-state-of-emergency-in-florida-1.2332496,2015-08-28T15:47:00+00:00,1440776820.0,{'#erika': 1.0},"{'#erika': 0.75, 'caribbean': 0.05, 'erika': 0.05, 'florida': 0.05, 'governor_rick_scott': 0.05, 'state': 0.05}",0.000763455996685455
